DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_COST
2017-12-31,1M,Equity Common Stock,AFL.N,2.00%
2017-12-31,1M,Equity Common Stock,AES.N,2.00%
2017-12-31,1M,Equity Common Stock,ABT.N,2.00%
2017-12-31,1M,Equity Common Stock,ABMD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ATVI.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADBE.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMG.N,2.00%
2017-12-31,1M,Equity Common Stock,APD.N,2.00%
2017-12-31,1M,Equity Common Stock,ALK.N,2.00%
2017-12-31,1M,Equity Common Stock,ALB.N,2.00%
2017-12-31,1M,Equity Common Stock,ALXN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HON.N,2.00%
2017-12-31,1M,Equity Common Stock,ALL.N,2.00%
2017-12-31,1M,Equity Common Stock,ARNC.N,2.00%
2017-12-31,1M,Equity Common Stock,HES.N,2.00%
2017-12-31,1M,Equity Common Stock,AEE.N,2.00%
2017-12-31,1M,Equity Common Stock,AEP.N,2.00%
2017-12-31,1M,Equity Common Stock,AXP.N,2.00%
2017-12-31,1M,Equity Common Stock,AIG.N,2.00%
2017-12-31,1M,Equity Common Stock,ABC.N,2.00%
2017-12-31,1M,Equity Common Stock,AME.N,2.00%
2017-12-31,1M,Equity Common Stock,AMGN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,APH.N,2.00%
2017-12-31,1M,Equity Common Stock,APC.N,2.00%
2017-12-31,1M,Equity Common Stock,ADI.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AON.N,2.00%
2017-12-31,1M,Equity Common Stock,APA.N,2.00%
2017-12-31,1M,Equity Common Stock,AIV.N,2.00%
2017-12-31,1M,Equity Common Stock,AAPL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMAT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADM.N,2.00%
2017-12-31,1M,Equity Common Stock,ADSK.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AZO.N,2.00%
2017-12-31,1M,Equity Common Stock,AVB.N,2.00%
2017-12-31,1M,Equity Common Stock,AVY.N,2.00%
2017-12-31,1M,Equity Common Stock,BBT.N,2.00%
2017-12-31,1M,Equity Common Stock,BHGE.N,2.00%
2017-12-31,1M,Equity Common Stock,BLL.N,2.00%
