DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,AFL.N,1.10%
2017-12-31,1M,Equity Common Stock,AES.N,-0.44%
2017-12-31,1M,Equity Common Stock,ABT.N,0.85%
2017-12-31,1M,Equity Common Stock,ABMD.OQ,5.12%
2017-12-31,1M,Equity Common Stock,ATVI.OQ,3.47%
2017-12-31,1M,Equity Common Stock,ADBE.OQ,2.62%
2017-12-31,1M,Equity Common Stock,AMD.OQ,5.08%
2017-12-31,1M,Equity Common Stock,AMG.N,0.21%
2017-12-31,1M,Equity Common Stock,APD.N,0.67%
2017-12-31,1M,Equity Common Stock,ALK.N,0.92%
2017-12-31,1M,Equity Common Stock,ALB.N,2.53%
2017-12-31,1M,Equity Common Stock,ALXN.OQ,-0.65%
2017-12-31,1M,Equity Common Stock,HON.N,1.28%
2017-12-31,1M,Equity Common Stock,ALL.N,1.21%
2017-12-31,1M,Equity Common Stock,ARNC.N,-0.09%
2017-12-31,1M,Equity Common Stock,HES.N,-0.69%
2017-12-31,1M,Equity Common Stock,AEE.N,0.78%
2017-12-31,1M,Equity Common Stock,AEP.N,0.64%
2017-12-31,1M,Equity Common Stock,AXP.N,0.38%
2017-12-31,1M,Equity Common Stock,AIG.N,0.35%
2017-12-31,1M,Equity Common Stock,ABC.N,0.32%
2017-12-31,1M,Equity Common Stock,AME.N,1.01%
2017-12-31,1M,Equity Common Stock,AMGN.OQ,0.49%
2017-12-31,1M,Equity Common Stock,APH.N,1.45%
2017-12-31,1M,Equity Common Stock,APC.N,-0.65%
2017-12-31,1M,Equity Common Stock,ADI.OQ,1.55%
2017-12-31,1M,Equity Common Stock,AON.N,1.06%
2017-12-31,1M,Equity Common Stock,APA.N,-0.45%
2017-12-31,1M,Equity Common Stock,AIV.N,0.57%
2017-12-31,1M,Equity Common Stock,AAPL.OQ,1.41%
2017-12-31,1M,Equity Common Stock,AMAT.OQ,2.38%
2017-12-31,1M,Equity Common Stock,ADM.N,-0.53%
2017-12-31,1M,Equity Common Stock,ADSK.OQ,2.09%
2017-12-31,1M,Equity Common Stock,ADP.OQ,1.06%
2017-12-31,1M,Equity Common Stock,AZO.N,0.55%
2017-12-31,1M,Equity Common Stock,AVB.N,0.34%
2017-12-31,1M,Equity Common Stock,AVY.N,2.35%
2017-12-31,1M,Equity Common Stock,BBT.N,0.83%
2017-12-31,1M,Equity Common Stock,BHGE.N,-0.36%
2017-12-31,1M,Equity Common Stock,BLL.N,0.42%
2017-12-31,1M,Equity Common Stock,BAX.N,1.49%
2017-12-31,1M,Equity Common Stock,BDX.N,1.29%
2017-12-31,1M,Equity Common Stock,VZ.N,0.47%
2017-12-31,1M,Equity Common Stock,BRKb.N,0.83%
2017-12-31,1M,Equity Common Stock,BBY.N,1.95%
2017-12-31,1M,Equity Common Stock,HRB.N,-0.33%
2017-12-31,1M,Equity Common Stock,BA.N,2.52%
2017-12-31,1M,Equity Common Stock,BWA.N,0.24%
2017-12-31,1M,Equity Common Stock,BSX.N,1.93%
2017-12-31,1M,Equity Common Stock,BMY.N,0.39%
2017-12-31,1M,Equity Common Stock,BFb.N,1.37%
2017-12-31,1M,Equity Common Stock,CI.N,2.10%
2017-12-31,1M,Equity Common Stock,CMS.N,0.97%
2017-12-31,1M,Equity Common Stock,CSX.OQ,1.49%
2017-12-31,1M,Equity Common Stock,CVS.N,-0.64%
2017-12-31,1M,Equity Common Stock,COG.N,0.26%
2017-12-31,1M,Equity Common Stock,CDNS.OQ,2.37%
2017-12-31,1M,Equity Common Stock,CPB.N,0.38%
2017-12-31,1M,Equity Common Stock,STZ.N,2.47%
2017-12-31,1M,Equity Common Stock,COF.N,0.74%
2017-12-31,1M,Equity Common Stock,CAH.N,-0.61%
