DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,AFL.N,0.2581022
2017-12-31,1M,Equity Common Stock,AES.N,-0.0650460
2017-12-31,1M,Equity Common Stock,ABT.N,0.1374403
2017-12-31,1M,Equity Common Stock,ABMD.OQ,0.4535884
2017-12-31,1M,Equity Common Stock,ATVI.OQ,0.4947481
2017-12-31,1M,Equity Common Stock,ADBE.OQ,0.4763735
2017-12-31,1M,Equity Common Stock,AMD.OQ,0.3043909
2017-12-31,1M,Equity Common Stock,AMG.N,0.0265466
2017-12-31,1M,Equity Common Stock,APD.N,0.1525722
2017-12-31,1M,Equity Common Stock,ALK.N,0.1095317
2017-12-31,1M,Equity Common Stock,ALB.N,0.2744481
2017-12-31,1M,Equity Common Stock,ALXN.OQ,-0.0624135
2017-12-31,1M,Equity Common Stock,HON.N,0.3519555
2017-12-31,1M,Equity Common Stock,ALL.N,0.2716357
2017-12-31,1M,Equity Common Stock,ARNC.N,-0.0076620
2017-12-31,1M,Equity Common Stock,HES.N,-0.0664931
2017-12-31,1M,Equity Common Stock,AEE.N,0.1755502
2017-12-31,1M,Equity Common Stock,AEP.N,0.1382103
2017-12-31,1M,Equity Common Stock,AXP.N,0.0616708
2017-12-31,1M,Equity Common Stock,AIG.N,0.0580510
2017-12-31,1M,Equity Common Stock,ABC.N,0.0433259
2017-12-31,1M,Equity Common Stock,AME.N,0.2044496
2017-12-31,1M,Equity Common Stock,AMGN.OQ,0.0687233
2017-12-31,1M,Equity Common Stock,APH.N,0.3631518
2017-12-31,1M,Equity Common Stock,APC.N,-0.0609374
2017-12-31,1M,Equity Common Stock,ADI.OQ,0.2230350
2017-12-31,1M,Equity Common Stock,AON.N,0.2379404
2017-12-31,1M,Equity Common Stock,APA.N,-0.0385946
2017-12-31,1M,Equity Common Stock,AIV.N,0.1155564
2017-12-31,1M,Equity Common Stock,AAPL.OQ,0.2128468
2017-12-31,1M,Equity Common Stock,AMAT.OQ,0.2732242
2017-12-31,1M,Equity Common Stock,ADM.N,-0.0875172
2017-12-31,1M,Equity Common Stock,ADSK.OQ,0.1983937
2017-12-31,1M,Equity Common Stock,ADP.OQ,0.2166759
2017-12-31,1M,Equity Common Stock,AZO.N,0.0943181
2017-12-31,1M,Equity Common Stock,AVB.N,0.0769659
2017-12-31,1M,Equity Common Stock,AVY.N,0.4663926
2017-12-31,1M,Equity Common Stock,BBT.N,0.1513864
2017-12-31,1M,Equity Common Stock,BHGE.N,-0.0544830
2017-12-31,1M,Equity Common Stock,BLL.N,0.0804573
2017-12-31,1M,Equity Common Stock,BAX.N,0.2875957
2017-12-31,1M,Equity Common Stock,BDX.N,0.3017115
2017-12-31,1M,Equity Common Stock,VZ.N,0.0925422
2017-12-31,1M,Equity Common Stock,BRKb.N,0.2429864
2017-12-31,1M,Equity Common Stock,BBY.N,0.2446595
2017-12-31,1M,Equity Common Stock,HRB.N,-0.0398591
2017-12-31,1M,Equity Common Stock,BA.N,0.3703631
2017-12-31,1M,Equity Common Stock,BWA.N,0.0261489
2017-12-31,1M,Equity Common Stock,BSX.N,0.3135536
2017-12-31,1M,Equity Common Stock,BMY.N,0.0519432
2017-12-31,1M,Equity Common Stock,BFb.N,0.2748657
2017-12-31,1M,Equity Common Stock,CI.N,0.3272626
2017-12-31,1M,Equity Common Stock,CMS.N,0.2052976
2017-12-31,1M,Equity Common Stock,CSX.OQ,0.1783793
2017-12-31,1M,Equity Common Stock,CVS.N,-0.1172928
2017-12-31,1M,Equity Common Stock,COG.N,0.0308724
2017-12-31,1M,Equity Common Stock,CDNS.OQ,0.4221502
2017-12-31,1M,Equity Common Stock,CPB.N,0.0733529
2017-12-31,1M,Equity Common Stock,STZ.N,0.5475649
2017-12-31,1M,Equity Common Stock,COF.N,0.1109186
2017-12-31,1M,Equity Common Stock,CAH.N,-0.1090690
2017-12-31,1M,Equity Common Stock,CCL.N,0.2188718
2017-12-31,1M,Equity Common Stock,CAT.N,0.2443647
2017-12-31,1M,Equity Common Stock,CELG.OQ,0.0272956
2017-12-31,1M,Equity Common Stock,CERN.OQ,0.0506494
2017-12-31,1M,Equity Common Stock,JPM.N,0.2769646
2017-12-31,1M,Equity Common Stock,CVX.N,0.0800717
2017-12-31,1M,Equity Common Stock,CHD.N,0.1761200
2017-12-31,1M,Equity Common Stock,CINF.OQ,0.2413111
2017-12-31,1M,Equity Common Stock,CSCO.OQ,0.1798037
2017-12-31,1M,Equity Common Stock,CTAS.OQ,0.4636120
2017-12-31,1M,Equity Common Stock,CTXS.OQ,0.2833320
2017-12-31,1M,Equity Common Stock,CLX.N,0.2455175
2017-12-31,1M,Equity Common Stock,KO.N,0.0895111
2017-12-31,1M,Equity Common Stock,CL.N,0.0785360
2017-12-31,1M,Equity Common Stock,CMA.N,0.2437872
2017-12-31,1M,Equity Common Stock,CA.OQ,0.0785248
2017-12-31,1M,Equity Common Stock,DXC.N,0.3967837
2017-12-31,1M,Equity Common Stock,CAG.N,0.2053974
2017-12-31,1M,Equity Common Stock,ED.N,0.1664854
2017-12-31,1M,Equity Common Stock,COO.N,0.1683793
2017-12-31,1M,Equity Common Stock,TAP.N,0.0730160
2017-12-31,1M,Equity Common Stock,CPRT.OQ,0.4370371
2017-12-31,1M,Equity Common Stock,GLW.N,0.1909474
2017-12-31,1M,Equity Common Stock,CMI.N,0.1277161
2017-12-31,1M,Equity Common Stock,DHI.N,0.3353335
2017-12-31,1M,Equity Common Stock,DTE.N,0.1790442
2017-12-31,1M,Equity Common Stock,DHR.N,0.2643522
2017-12-31,1M,Equity Common Stock,DRI.N,0.3033394
2017-12-31,1M,Equity Common Stock,TGT.N,-0.0407617
2017-12-31,1M,Equity Common Stock,DE.N,0.2957971
2017-12-31,1M,Equity Common Stock,XRAY.OQ,0.1290768
2017-12-31,1M,Equity Common Stock,DIS.N,0.0927392
2017-12-31,1M,Equity Common Stock,DLTR.OQ,0.1909129
2017-12-31,1M,Equity Common Stock,D.N,0.0563932
2017-12-31,1M,Equity Common Stock,DOV.N,0.2096249
2017-12-31,1M,Equity Common Stock,DUK.N,0.0267024
2017-12-31,1M,Equity Common Stock,DRE.N,0.1953817
2017-12-31,1M,Equity Common Stock,ETFC.OQ,0.2888935
2017-12-31,1M,Equity Common Stock,EMN.N,0.1243806
2017-12-31,1M,Equity Common Stock,ETN.N,0.0985891
2017-12-31,1M,Equity Common Stock,ECL.N,0.1946192
2017-12-31,1M,Equity Common Stock,EIX.N,0.0147444
2017-12-31,1M,Equity Common Stock,EA.OQ,0.3362051
2017-12-31,1M,Equity Common Stock,EMR.N,0.0883364
2017-12-31,1M,Equity Common Stock,EOG.N,0.0939926
2017-12-31,1M,Equity Common Stock,ETR.N,-0.0161167
2017-12-31,1M,Equity Common Stock,EFX.N,0.1965717
2017-12-31,1M,Equity Common Stock,EQT.N,-0.0615367
2017-12-31,1M,Equity Common Stock,EQR.N,0.0468295
2017-12-31,1M,Equity Common Stock,RE.N,0.2044577
2017-12-31,1M,Equity Common Stock,EXPD.OQ,0.2640742
2017-12-31,1M,Equity Common Stock,ESRX.OQ,-0.0283908
2017-12-31,1M,Equity Common Stock,XOM.N,-0.0486638
