DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RISK
2017-12-31,1M,Equity Common Stock,AFL.N,4.26%
2017-12-31,1M,Equity Common Stock,AES.N,6.80%
2017-12-31,1M,Equity Common Stock,ABT.N,6.19%
2017-12-31,1M,Equity Common Stock,ABMD.OQ,11.30%
2017-12-31,1M,Equity Common Stock,ATVI.OQ,7.01%
2017-12-31,1M,Equity Common Stock,ADBE.OQ,5.49%
2017-12-31,1M,Equity Common Stock,AMD.OQ,16.70%
2017-12-31,1M,Equity Common Stock,AMG.N,7.77%
2017-12-31,1M,Equity Common Stock,APD.N,4.40%
2017-12-31,1M,Equity Common Stock,ALK.N,8.39%
2017-12-31,1M,Equity Common Stock,ALB.N,9.21%
2017-12-31,1M,Equity Common Stock,ALXN.OQ,10.43%
2017-12-31,1M,Equity Common Stock,HON.N,3.62%
2017-12-31,1M,Equity Common Stock,ALL.N,4.47%
2017-12-31,1M,Equity Common Stock,ARNC.N,11.55%
2017-12-31,1M,Equity Common Stock,HES.N,10.45%
2017-12-31,1M,Equity Common Stock,AEE.N,4.45%
2017-12-31,1M,Equity Common Stock,AEP.N,4.62%
2017-12-31,1M,Equity Common Stock,AXP.N,6.18%
2017-12-31,1M,Equity Common Stock,AIG.N,6.09%
2017-12-31,1M,Equity Common Stock,ABC.N,7.39%
2017-12-31,1M,Equity Common Stock,AME.N,4.96%
2017-12-31,1M,Equity Common Stock,AMGN.OQ,7.15%
2017-12-31,1M,Equity Common Stock,APH.N,3.98%
2017-12-31,1M,Equity Common Stock,APC.N,10.63%
2017-12-31,1M,Equity Common Stock,ADI.OQ,6.95%
2017-12-31,1M,Equity Common Stock,AON.N,4.45%
2017-12-31,1M,Equity Common Stock,APA.N,11.69%
2017-12-31,1M,Equity Common Stock,AIV.N,4.91%
2017-12-31,1M,Equity Common Stock,AAPL.OQ,6.61%
2017-12-31,1M,Equity Common Stock,AMAT.OQ,8.70%
2017-12-31,1M,Equity Common Stock,ADM.N,6.09%
2017-12-31,1M,Equity Common Stock,ADSK.OQ,10.51%
2017-12-31,1M,Equity Common Stock,ADP.OQ,4.91%
2017-12-31,1M,Equity Common Stock,AZO.N,5.82%
2017-12-31,1M,Equity Common Stock,AVB.N,4.37%
2017-12-31,1M,Equity Common Stock,AVY.N,5.04%
2017-12-31,1M,Equity Common Stock,BBT.N,5.50%
2017-12-31,1M,Equity Common Stock,BHGE.N,6.70%
2017-12-31,1M,Equity Common Stock,BLL.N,5.24%
2017-12-31,1M,Equity Common Stock,BAX.N,5.16%
2017-12-31,1M,Equity Common Stock,BDX.N,4.28%
2017-12-31,1M,Equity Common Stock,VZ.N,5.03%
2017-12-31,1M,Equity Common Stock,BRKb.N,3.42%
2017-12-31,1M,Equity Common Stock,BBY.N,7.96%
2017-12-31,1M,Equity Common Stock,HRB.N,8.39%
2017-12-31,1M,Equity Common Stock,BA.N,6.81%
2017-12-31,1M,Equity Common Stock,BWA.N,9.13%
2017-12-31,1M,Equity Common Stock,BSX.N,6.17%
2017-12-31,1M,Equity Common Stock,BMY.N,7.44%
2017-12-31,1M,Equity Common Stock,BFb.N,4.97%
2017-12-31,1M,Equity Common Stock,CI.N,6.43%
2017-12-31,1M,Equity Common Stock,CMS.N,4.71%
2017-12-31,1M,Equity Common Stock,CSX.OQ,8.34%
2017-12-31,1M,Equity Common Stock,CVS.N,5.45%
2017-12-31,1M,Equity Common Stock,COG.N,8.52%
2017-12-31,1M,Equity Common Stock,CDNS.OQ,5.61%
2017-12-31,1M,Equity Common Stock,CPB.N,5.21%
2017-12-31,1M,Equity Common Stock,STZ.N,4.52%
2017-12-31,1M,Equity Common Stock,COF.N,6.70%
2017-12-31,1M,Equity Common Stock,CAH.N,5.57%
2017-12-31,1M,Equity Common Stock,CCL.N,5.56%
2017-12-31,1M,Equity Common Stock,CAT.N,7.27%
2017-12-31,1M,Equity Common Stock,CELG.OQ,9.23%
2017-12-31,1M,Equity Common Stock,CERN.OQ,6.80%
2017-12-31,1M,Equity Common Stock,JPM.N,6.05%
2017-12-31,1M,Equity Common Stock,CVX.N,5.82%
2017-12-31,1M,Equity Common Stock,CHD.N,4.34%
2017-12-31,1M,Equity Common Stock,CINF.OQ,4.91%
2017-12-31,1M,Equity Common Stock,CSCO.OQ,5.90%
2017-12-31,1M,Equity Common Stock,CTAS.OQ,4.35%
2017-12-31,1M,Equity Common Stock,CTXS.OQ,6.03%
2017-12-31,1M,Equity Common Stock,CLX.N,4.42%
2017-12-31,1M,Equity Common Stock,KO.N,3.10%
2017-12-31,1M,Equity Common Stock,CL.N,4.08%
2017-12-31,1M,Equity Common Stock,CMA.N,8.54%
2017-12-31,1M,Equity Common Stock,CA.OQ,4.28%
2017-12-31,1M,Equity Common Stock,DXC.N,10.14%
2017-12-31,1M,Equity Common Stock,CAG.N,4.35%
2017-12-31,1M,Equity Common Stock,ED.N,4.93%
2017-12-31,1M,Equity Common Stock,COO.N,5.89%
2017-12-31,1M,Equity Common Stock,TAP.N,5.82%
2017-12-31,1M,Equity Common Stock,CPRT.OQ,5.92%
2017-12-31,1M,Equity Common Stock,GLW.N,5.68%
2017-12-31,1M,Equity Common Stock,CMI.N,5.64%
2017-12-31,1M,Equity Common Stock,DHI.N,6.48%
2017-12-31,1M,Equity Common Stock,DTE.N,4.15%
2017-12-31,1M,Equity Common Stock,DHR.N,4.07%
2017-12-31,1M,Equity Common Stock,DRI.N,6.17%
2017-12-31,1M,Equity Common Stock,TGT.N,5.99%
2017-12-31,1M,Equity Common Stock,DE.N,5.99%
2017-12-31,1M,Equity Common Stock,XRAY.OQ,5.76%
2017-12-31,1M,Equity Common Stock,DIS.N,5.66%
2017-12-31,1M,Equity Common Stock,DLTR.OQ,7.65%
2017-12-31,1M,Equity Common Stock,D.N,3.89%
2017-12-31,1M,Equity Common Stock,DOV.N,5.18%
2017-12-31,1M,Equity Common Stock,DUK.N,4.64%
2017-12-31,1M,Equity Common Stock,DRE.N,5.61%
2017-12-31,1M,Equity Common Stock,ETFC.OQ,8.04%
2017-12-31,1M,Equity Common Stock,EMN.N,5.78%
2017-12-31,1M,Equity Common Stock,ETN.N,6.07%
2017-12-31,1M,Equity Common Stock,ECL.N,3.96%
2017-12-31,1M,Equity Common Stock,EIX.N,6.00%
2017-12-31,1M,Equity Common Stock,EA.OQ,7.49%
2017-12-31,1M,Equity Common Stock,EMR.N,5.44%
2017-12-31,1M,Equity Common Stock,EOG.N,7.85%
2017-12-31,1M,Equity Common Stock,ETR.N,4.99%
2017-12-31,1M,Equity Common Stock,EFX.N,6.49%
2017-12-31,1M,Equity Common Stock,EQT.N,7.93%
2017-12-31,1M,Equity Common Stock,EQR.N,4.65%
2017-12-31,1M,Equity Common Stock,RE.N,3.94%
2017-12-31,1M,Equity Common Stock,EXPD.OQ,4.26%
2017-12-31,1M,Equity Common Stock,ESRX.OQ,6.02%
2017-12-31,1M,Equity Common Stock,XOM.N,4.07%
2017-12-31,1M,Equity Common Stock,FMC.N,8.92%
2017-12-31,1M,Equity Common Stock,NEE.N,4.45%
2017-12-31,1M,Equity Common Stock,FAST.OQ,6.45%
2017-12-31,1M,Equity Common Stock,FDX.N,6.18%
2017-12-31,1M,Equity Common Stock,FRT.N,4.69%
2017-12-31,1M,Equity Common Stock,M.N,10.97%
2017-12-31,1M,Equity Common Stock,FITB.OQ,7.64%
2017-12-31,1M,Equity Common Stock,FISV.OQ,4.07%
2017-12-31,1M,Equity Common Stock,FE.N,5.46%
2017-12-31,1M,Equity Common Stock,FLS.N,7.31%
2017-12-31,1M,Equity Common Stock,BEN.N,6.36%
2017-12-31,1M,Equity Common Stock,FCX.N,23.46%
2017-12-31,1M,Equity Common Stock,AJG.N,4.49%
2017-12-31,1M,Equity Common Stock,GPS.N,12.06%
2017-12-31,1M,Equity Common Stock,IT.N,5.81%
2017-12-31,1M,Equity Common Stock,GD.N,4.34%
2017-12-31,1M,Equity Common Stock,GE.N,5.86%
